都道府県名,団体名拠点名,〒,住所
北海道,"室蘭市子育て世代包括支援センター
「ここらん」",050-0083,室蘭市東町4丁目20-6
北海道,"常盤保育所
子育て支援センターらんらん
（常盤保育所内）",051-0014,室蘭市栄町2丁目6-16
北海道,子育て支援センターおひさま,052-0014,伊達市舟岡町200番地142虹の橋保育園
北海道,子育て支援センターえがお,052-0021,伊達市末永町92番地6伊達市 中央区末永集会所
北海道,子育て支援センターくろーばー,052-0034,伊達市館山下町160番地ふたば保育所
北海道,子育て支援センターげんき,052-0101,有珠郡壮瞥町字滝之町432-9
北海道,"あけの保育園子育てルーム
（あけの保育園）",053-0054,苫小牧市明野新町5丁目13-30
北海道,子育て支援センター,054-0021,勇払郡むかわ町大原2丁目14-1むかわひかり認定こども園
北海道,穂別おひさま広場,054-0211,勇払郡むかわ町穂別81番地2
北海道,日高町子育て支援センターわくわく館,055-0001,沙流郡日高町富川北2丁目8番1号
北海道,平取町子育て支援センター,055-0195,沙流郡平取町本町35番地1ふれあいセンターびらとり
北海道,日高町立日高子育て支援センター,055-2301,沙流郡日高町本町東3丁目261番地の6日高町立日高保育所
北海道,静内子育て支援センター,056-0004,日高郡新ひだか町静内緑町3丁目6-20静内保育所
北海道,マーガレット保育園子育て支援センター,056-0017,日高郡新ひだか町静内御幸町6丁目2-26マーガレット幼稚園・保育園
北海道,浦河町地域子育て支援センター,057-0024,浦河郡浦河町築地1丁目3番1号浦河町役場
北海道,子育て支援センター 「カスタネット」,057-0034,浦河郡浦河町堺町西1丁目11番21号夢の国幼稚園・保育園
北海道,様似町子育て支援センター,058-0015,様似郡様似町錦町1番地の8認定子ども園 様似町立幼児センター 幼稚園
北海道,えりも町子育て支援センター,058-0202,幌泉郡えりも町字歌別252えりも町 中央保育所
北海道,中央子育て支援センター,059-0014,登別市富士町7丁目2-1登別棋道連盟
北海道,鷲別子育て支援センター,059-0034,登別市鷲別町4丁目36-6登別市立鷲別中学校
北海道,"登別子育て支援センター
（登別保育所）",059-0465,登別市登別本町2丁目25-9
北海道,"白老町子ども発達支援センター
（子育て支援ピヌピヌ）",059-0922,白老郡白老町字萩野282-3
北海道,"錦岡保育園子育てルーム
（錦岡保育園）",059-1264,苫小牧市宮前町2丁目28-15
北海道,"沼ノ端おひさま保育園子育てルーム
（沼ノ端おひさま保育園）",059-1305,苫小牧市沼ﾉ端中央4丁目12番27号
北海道,"厚真子育て支援センター
（こども園つみき）",059-1601,勇払郡厚真町京町152番地
北海道,"厚南子育て支援センター
（宮の森こども園）",059-1741,勇払郡厚真町上厚真258番地7
北海道,"安平町追分地区子育て支援センター
「ひだまり」",059-1911,勇払郡安平町追分本町6丁目54番地追分児童館
北海道,桑園児童会館,060-0007,札幌市中央区北7条西15丁目28
北海道,ちあふる・ていね,060-0023,札幌市手稲区手稲本町3条2丁目4-15保育・子育て支援センター
北海道,まちなかキッズサロンおおどりんこ,060-0023,札幌市中央区南1条西4丁目札幌エスワンビル2階
北海道,ちあふる・ひがし,060-0909,札幌市東区北9条東7丁目1-25道営住宅光星団地１号棟
北海道,"当別町子育て支援センター
（総合保健福祉センターゆとろ）",061-0234,石狩郡当別町西町32番地2当別町教育委員会子ども未来課
北海道,浦臼町子育て支援センター,061-0500,樺戸郡浦臼町字183番地の353浦臼町認定こども園なかよし
北海道,月形町子育て支援センター,061-0500,樺戸郡月形町46番地1月形町立 花の里保育園
北海道,地域子育て支援センター「どんぐり」,061-1104,北広島市西の里北2丁目4-5西の里きらきら保育園
北海道,地域子育て支援センター｢あいあい｣,061-1192,北広島市中央4丁目2-1北広島市役所
北海道,地域子育て支援センター｢ぶらんこ｣,061-1270,北広島市大曲370-8大曲いちい保育園
北海道,恵庭市子育て支援センター（島松）,061-1355,恵庭市島松寿町２丁目24-3寿町会館内
北海道,恵庭市子育て支援センター（黄金）,061-1409,恵庭市黄金南5丁目11番地1恵庭市黄金ふれあいセンター
北海道,恵庭市子育て支援センター（柏）,061-1424,恵庭市大町1丁目5-7生涯学習施設 かしわのもり
北海道,恵庭市子育て支援センター（恵庭）,061-1442,恵庭市緑町2丁目1-1えにあす
