都道府県名,団体名拠点名,〒,住所
東京都,拝島保育園,196-0002,昭島市拝島町2-4-26
東京都,昭栄保育園,196-0002,昭島市拝島町3-17-11
東京都,啓明学園幼稚園,196-0002,昭島市拝島町3-8-13
東京都,認定こども園イコロ昭和の森,196-0002,昭島市拝島町4041-1
東京都,松原保育園,196-0003,昭島市松原町4-11-3
東京都,のぞみ保育園,196-0003,昭島市松原町5-7-17
東京都,つつじが丘保育園,196-0012,昭島市つつじが丘3-6-23
東京都,栗ノ沢幼稚園,196-0014,昭島市田中町1-25-27
東京都,昭島幼稚園,196-0022,昭島市中神町1232
東京都,むさしの保育園,196-0022,昭島市中神町1294-4
東京都,昭和郷第二保育園,196-0022,昭島市中神町1260
東京都,昭和郷保育園,196-0022,昭島市中神町1260
東京都,昭和保育園,196-0024,昭島市宮沢町2-28-18
東京都,中神保育園,196-0025,昭島市朝日町5-4-17
東京都,福島保育園,196-0031,昭島市福島町1-18-8
東京都,多摩保育園,196-0033,昭島市東町5-1-40
東京都,昭島ナオミ保育園,196-0034,昭島市玉川町1-10-4
東京都,あけの星幼稚園,196-0034,昭島市玉川町3-11-2
東京都,わかくさ保育園,196-0034,昭島市玉川町5-15-26
東京都,熊川児童館,197-0003,福生市熊川1143-1
東京都,田園児童館,197-0004,福生市南田園3-6-1
東京都,ふれあいひろば,197-0005,福生市北田園2-5-7
東京都,すみれ保育園,197-0011,福生市福生959-8
東京都,武蔵野台児童館,197-0013,福生市武蔵野台1-12-2
東京都,杉の子ニコニコルーム（杉の子保育園）,197-0023,福生市志茂47-3
東京都,子育てひろば いつかいち,197-0164,あきる野市五日市414-5
東京都,おそきの森,198-0003,青梅市小曾木4-2227-1
東京都,なかよしルーム,198-0021,青梅市今寺1-531-2
東京都,ななくに,198-0023,青梅市今井2-1125-2
東京都,ひだまり,198-0024,青梅市新町8-5-2
東京都,みどりっこ広場,198-0031,青梅市師岡町4-8-8
東京都,かるがも,198-0036,青梅市河辺町4-20-12
東京都,あおぞら,198-0036,青梅市河辺町7-14-2
東京都,かすみ,198-0042,青梅市東青梅6-1-12
東京都,ひなたぼっこ,198-0046,青梅市日向和田2-374-7
東京都,のびっこ,198-0051,青梅市友田4-106
東京都,ほのぼの,198-0052,青梅市長淵4-225
東京都,こまキッズ,198-0053,青梅市駒木町2-46-1
東京都,すこやかルーム,198-0061,青梅市畑中2-593
東京都,うめっこ広場,198-0063,青梅市梅郷3-776-7
東京都,岩戸子育てひろば,201-0005,狛江市岩戸南3-15-1(狛江市立岩戸児童ｾﾝﾀ-内)
東京都,和泉子育てひろば,201-0012,狛江市中和泉3-12-6(狛江市立和泉児童館内)
東京都,ひばりが丘児童センター,202-0001,西東京市ひばりが丘3-1-25
東京都,ひばりが丘北児童センター,202-0002,西東京市ひばりが丘北1-6-8
東京都,下保谷児童センター,202-0004,西東京市下保谷4-3-20
東京都,地域子育て支援センター すみよし,202-0005,西東京市住吉町3-14-14
東京都,地域子育て支援センター ひがし,202-0012,西東京市東町2-4-13
東京都,中町児童館,202-0013,西東京市中町4-4-1
東京都,地域子育て支援センター なかまち,202-0013,西東京市中町4-4-16
東京都,保谷柳沢児童館,202-0022,西東京市柳沢2-6-11
東京都,地域子育て支援センター やぎさわ,202-0022,西東京市柳沢5-8-2
東京都,新町児童館,202-0023,西東京市新町5-2-7
東京都,地域子ども家庭支援センター上の原,203-0001,東久留米市上の原1-2-44
東京都,地域子育て支援センターはこぶね館,203-0043,東久留米市下里7-8-20
東京都,こあらルーム,204-0003,清瀬市中里3-1731-8
東京都,西児童館,205-0001,羽村市小作台5-28-3
東京都,子育てひろば たつの子,205-0011,羽村市五ﾉ神2-6-8
東京都,しらうめ保育園,205-0014,羽村市羽東1-29-16
東京都,中央児童館,205-0015,羽村市羽中3-6-19
東京都,東児童館,205-0023,羽村市神明台3-30-2
東京都,多摩保育園,206-0001,多摩市和田418-1
東京都,多摩市立一ノ宮児童館,206-0002,多摩市一ﾉ宮1-18-7
東京都,東寺方児童館,206-0003,多摩市東寺方626-7
東京都,桜ヶ丘児童館,206-0013,多摩市桜ヶ丘1-17-7
東京都,連光寺児童館,206-0021,多摩市連光寺3-57-1
東京都,諏訪児童館,206-0024,多摩市諏訪2-8
東京都,こばと第一保育園,206-0024,多摩市諏訪4-7
東京都,多摩市立永山児童館,206-0025,多摩市永山3-6
東京都,豊ヶ丘児童館,206-0031,多摩市豊ヶ丘5-6
東京都,おだ認定こども園,206-0033,多摩市落合5-7-2
東京都,落合児童館,206-0033,多摩市落合6-5
東京都,唐木田児童館,206-0035,多摩市鶴牧六丁目14番地
東京都,愛宕児童館,206-0041,多摩市愛宕1-65-3
東京都,子ども家庭支援センター あそびの広場,206-0803,稲城市向陽台3-2
東京都,ひらお保育園（はらっぱ広場）,206-0803,稲城市平尾3-1-23
東京都,松葉保育園,206-0812,稲城市矢野口2065
東京都,地域子育て支援センター,208-0003,武蔵村山市中央一丁目28番地
東京都,子育て支援センター,208-0012,武蔵村山市緑が丘1732-1れんげ武蔵保育園
東京都,いずみこどもプラザ,101-0024,千代田区神田和泉町1 ちよだﾊﾟｰｸｻｲﾄﾞﾌﾟﾗｻﾞ6階
東京都,西神田児童センター,101-0065,千代田区西神田2-6-2 西神田ｺｽﾓｽ館3階
東京都,富士見わんぱくひろば,102-0071,千代田区富士見1-10-3 富士見みらい館5階
東京都,四番町児童館,102-0081,千代田区四番町5-8
東京都,一番町児童館,102-0082,千代田区一番町10
東京都,晴海児童館,104-0053,中央区晴海二丁目4番地31号
東京都,子育てひろば あっぴぃ新橋,105-0004,港区新橋六丁目4番2号 きらきらﾌﾟﾗｻﾞ新橋3階
東京都,子育てひろばあっぴぃ芝浦,105-0023,港区芝浦3-1-16 しばうら保育園1階
東京都,子育てひろば あっぴぃ西麻布,106-0031,港区西麻布二丁目13番3号 西麻布いきいきﾌﾟﾗｻﾞ3階
東京都,子育てひろば あっぴぃ麻布,106-0032,港区六本木五丁目12番24号 港区立麻布図書館1階
東京都,子育てひろば水道（保育課）,112-0005,文京区水道1-3-26(水道保育園内)
東京都,子育てひろば千石（児童青少年課）,112-0011,文京区千石1‐4-3(千石児童館内)
東京都,子育てひろば汐見,113-0022,文京区千駄木2-19-23(汐見小学校内)
東京都,子育てひろば西片,113-0024,文京区西片1-8-15
東京都,両国子育てひろば（旧すみだ子育て相談センター）,130-0015,墨田区横網1-2-13
東京都,子育てひろば（東部健康サポートセンター）,132-0011,江戸川区瑞江2丁目5番7号
東京都,子育てひろば（中央健康サポートセンター）,132-0021,江戸川区中央4丁目24番19号
東京都,子育てひろば（共育プラザ一之江）,132-0024,江戸川区一之江3丁目13番7号
東京都,子育てひろば（グリーンパレス）,132-0031,江戸川区松島1丁目38番1号
東京都,子育てひろば（小松川健康サポートセンター）,132-0034,江戸川区小松川3丁目6番1号
東京都,子育てひろば（共育プラザ平井）,132-0035,江戸川区平井7丁目21番6号
東京都,子育てひろば（共育プラザ小岩）,133-0051,江戸川区北小岩2丁目14番17号
東京都,子育てひろば（小岩健康サポートセンター）,133-0052,江戸川区東小岩3丁目23番3号
東京都,子育てひろば（共育プラザ南小岩）,133-0056,江戸川区南小岩4丁目5番8号
東京都,子育てひろば（共育プラザ南篠崎）,133-0065,江戸川区南篠崎町3丁目12番8号
東京都,子育てひろば（鹿骨健康サポートセンター）,133-0073,江戸川区鹿骨1丁目55番10号
東京都,子育てひろば（共育プラザ葛西）,134-0082,江戸川区宇喜田町175番地
東京都,中葛西子育てひろば,134-0083,江戸川区中葛西1丁目2番8号
東京都,子育てひろば（葛西健康サポートセンター）,134-0083,江戸川区中葛西3丁目10番1号
東京都,子育てひろば（なぎさ健康サポートセンター）,134-0085,江戸川区南葛西7丁目1番27号
東京都,子育てひろば（清新町健康サポートセンター）,134-0087,江戸川区清新町1丁目4番1号-107(清新北ﾊｲﾂ1階)
東京都,子育てひろば あっぴぃ台場,135-0091,港区台場1-7-1 ﾒﾃﾞｨｱｰｼﾞｭ4階
東京都,キッズな大森,143-0016,大田区大森北四丁目16番5号
東京都,キッズな蒲田,144-0051,大田区西蒲田七丁目49番2号(社会福祉ｾﾝﾀｰ2階)
東京都,キッズな六郷,144-0055,大田区仲六郷2丁目44番11号 六郷地域力推進ｾﾝﾀｰ3階
東京都,キッズな洗足池,145-0064,大田区上池台二丁目35番18号
東京都,子育てステーション桜新町,154-0015,世田谷区桜新町2丁目8番1号 世田谷目黒農協本店ﾋﾞﾙ1階 
東京都,おでかけひろば古民家mamas＠世田谷1丁目,154-0017,世田谷区世田谷1丁目11番18号
東京都,子育てステーション梅丘,156-0043,世田谷区松原6-41-7梅が丘駅隣接
東京都,子ども・子育て総合センター,156-0051,世田谷区宮坂3丁目15番15号
東京都,すこやか広場,156-0055,世田谷区船橋1丁目30番9号 子どもの生活研究所内
東京都,ぽっぽちゃんひろば,156-0065,世田谷区上北沢3-1-19 福音寮3F
東京都,子育てステーション烏山,157-0062,世田谷区南烏山5丁目17番5号
東京都,けやき広場,157-0066,世田谷区成城8丁目27番17号 成城つくしんぼ保育園内 
東京都,子育てステーション成城,157-0066,世田谷区成城6丁目5番34号 成城ｺﾙﾃｨ3階 
東京都,みずき広場,157-0072,世田谷区祖師谷6丁目33番5号 世田谷つくしんぼ保育園内 
東京都,ひまわり,158-0094,世田谷区玉川4丁目16番6号 区立玉川保育園内 
東京都,地域子育て支援センター原町みゆき,162-0053,新宿区原町2-43
東京都,子育てひろばどんぐり,164-0011,中野区中央3-19-1 中部すこやか福祉ｾﾝﾀｰ内
東京都,NPO法人八成グループひととき保育八成（つどいの広場併設）,167-0021,杉並区井草2丁目27番13号
東京都,株式会社 ニリア・バニーひととき保育宮前（つどいの広場併設）,168-0081,杉並区宮前5丁目24番18号
東京都,練馬ぴよぴよ（ひろば室）,176-0012,練馬区豊玉北5-18-12
東京都,未来こどもランドすまいる高野台,177-0033,練馬区高野台3丁目12番9号 ﾒｿﾞﾝ･ﾄﾞ･ｻﾝﾄﾛﾍﾟ1階
東京都,ほっぷ・すてっぷ,177-0035,練馬区南田中1丁目6番14号 ﾋｶﾘﾊｲﾑ102号
東京都,未来こどもランドすまいる石神井,177-0041,練馬区石神井町3-27-14
東京都,こどもフローラ,177-0042,練馬区下石神井2丁目35番16号
東京都,あいあいあい石神井台,177-0045,練馬区石神井台5丁目9番6号
東京都,関ぴよぴよ,177-0051,練馬区関町北1丁目21番15号
東京都,立野地区区民館ぴよぴよ,177-0054,練馬区立野町15番42号 立野地区区民館2階
東京都,北大泉児童館ぴよぴよ,178-0062,練馬区大泉町4丁目15番15号 北大泉児童館2階
東京都,あいあいあい東大泉,178-0063,練馬区東大泉3丁目41番7号 和田ﾋﾞﾙ201号
東京都,大泉ぴよぴよ,178-0063,練馬区東大泉5丁目35番1号
東京都,あいあいあい南大泉,178-0064,練馬区南大泉1丁目44番16号
東京都,こどもくらぶじゃんけんぽん,178-0065,練馬区西大泉2丁目12番5号
東京都,光が丘児童館ぴよぴよ,179-0072,練馬区光が丘1丁目3番1号 光が丘児童館併設
東京都,光が丘ぴよぴよ（ひろば室）,179-0072,練馬区光が丘5丁目2番5-105号
東京都,田柄地区区民館ぴよぴよ,179-0073,練馬区田柄3丁目28番13号 
東京都,春日町南地区区民館ぴよぴよ,179-0074,練馬区春日町5丁目20番25号 
東京都,かるがも親子・氷川台,179-0084,練馬区氷川台3丁目24番17号 石野ﾋﾞﾙ1階
東京都,公益財団法人武蔵野市子ども協会０１２３吉祥寺,180-0002,武蔵野市吉祥寺東町2-29-12
東京都,公益財団法人武蔵野市子ども協会０１２３はらっぱ,180-0011,武蔵野市八幡町1-3-24
東京都,プレイセンターちょうふこどもとフラット,182-0024,調布市布田4-17-10 ｾﾝﾄﾗﾙﾚｼﾞﾃﾞﾝｽ調布2階
東京都,やまびこ保育園,183-0002,府中市多磨町2丁目56番地
東京都,わらしこ第2保育園,183-0004,府中市紅葉丘1-1-2
東京都,白糸さくらんぼ保育園,183-0011,府中市白糸台3丁目36番地の2
東京都,にじのいろ保育園,183-0014,府中市是政5丁目21番地
東京都,キッズルームこっこ保育園,183-0015,府中市清水が丘3丁目21番地の25
東京都,府中愛児園,183-0016,府中市八幡町3丁目18番地
東京都,光明高倉保育園,183-0033,府中市分梅町1丁目31番地
東京都,ベビーゆうゆう,183-0057,府中市晴見町1丁目14番地の15
東京都,緑児童館(ほのぼのサロン、乳幼児のつどい),184-0003,小金井市緑町4丁目18番25号
東京都,本町児童館(乳幼児のつどい),184-0004,小金井市本町5丁目4番25号
東京都,東児童館(常設子育てひろば「ぱおぱお」),184-0011,小金井市東町4丁目25番7号
東京都,西恋ヶ窪親子ひろば「コアラッコ」,185-0000,国分寺市西恋ヶ窪3-32-6 市民室内ﾌﾟｰﾙ 2階和室
東京都,東恋ヶ窪学童保育所,185-0000,国分寺市東恋ヶ窪2-13
東京都,北町親子ひろば「みんなの寄ってけサロン」,185-0001,国分寺市北町3-2-13 北町地域ｾﾝﾀｰ2階和室
東京都,戸倉親子ひろば,185-0003,国分寺市戸倉3-5
東京都,本多親子ひろば,185-0011,国分寺市本多1-7-1 本多児童館内
東京都,東部地区拠点親子ひろば「BOUKENたまご」,185-0021,国分寺市南町3-9-25 都営住宅1階
東京都,日吉町親子ひろば,185-0032,国分寺市日吉町1-30-1
東京都,西町親子ひろば,185-0035,国分寺市西町5-18-5
東京都,ピッコロ広場,188-0011,西東京市田無町三丁目7番2号 ｺｰﾙ田無3階
東京都,(福）村山苑ほほえみ子育てひろば,189-0014,東村山市本町3丁目43番地1 ほんちょう保育園
東京都,ほんちょう子育てひろば,189-0014,東村山市本町4丁目19−26 東村山市役所 本町児童館
東京都,東村山市子どもＮＰＯユニット,189-0022,東村山市野口町1丁目25番地15
東京都,（特非）ＨＵＧこどもパートナーズ,189-0022,東村山市野口町2丁目4番地36
東京都,みすみ子育てひろば,189-0023,東村山市美住町1丁目4−1 東村山市立第四保育園
東京都,わかば子育てひろば,190-0001,立川市若葉町4-25-114 若葉児童館
東京都,にこにこ子育てひろば,190-0002,立川市幸町6-32-1 たかのみち保育園内
東京都,なかすな子育てひろば,190-0003,立川市栄町5-38-1 中砂保育園
東京都,たかまつ子育てひろば,190-0011,立川市高松町2-25-26 高松児童館 2階
東京都,なないろ子育てひろば,190-0012,立川市曙町2-36-2 女性総合ｾﾝﾀｰ･ｱｲﾑ1階
東京都,ふじみ子育てひろば,190-0013,立川市富士見町7-7-12 富士見児童館
東京都,はごろも子育てひろば,190-0021,立川市羽衣町2-44-16 羽衣児童館
東京都,にしき子育てひろば,190-0022,立川市錦町3-12-1 錦児童館
東京都,くるりん子育てひろば,190-0022,立川市錦町3-2-26 子ども未来ｾﾝﾀｰ内
東京都,ひまわり子育てひろば,190-0031,立川市砂川町1-52-7 砂川学習館内
東京都,かみすな子育てひろば,190-0032,立川市上砂町1-13-1 上砂児童館
東京都,にしすな子育てひろば,190-0033,立川市一番町6-8-37 西砂児童館
東京都,にじっこ子育てひろば,190-0034,立川市西砂町6-12-10 西砂学習館内
東京都,あそビバぶるーさかえまち児童館,191-0001,日野市栄町2の13の4
東京都,しんさかした保育園,191-0002,日野市新町3の17の4
東京都,子育てひろば「至誠スマイル」,191-0012,日野市日野1183の3
東京都,あらい保育園,191-0022,日野市新井842の6
東京都,みんなのはらっぱ,191-0024,日野市万願寺4の20の12 万願寺交流ｾﾝﾀｰ
東京都,みさわ保育園,191-0032,日野市三沢200
東京都,もぐさ台保育園,191-0033,日野市百草1002の4
東京都,たかはた台保育園,191-0042,日野市程久保650
東京都,日野市立次世代育成型子育てひろば程久保「あかいやね」,191-0042,日野市程久保876の2
東京都,あそビバいえろーひらやま児童館,191-0043,日野市平山3の26の3
東京都,みなみだいら保育園,191-0043,日野市平山4の20の1
東京都,日野市立次世代育成型子育てひろば平山「ぽっかぽか」,191-0043,日野市平山5の18の2 平山季重すえしげふれあい館2階
東京都,とよだ保育園,191-0051,日野市豊田4の10の3
東京都,吹上保育園,191-0052,日野市東豊田3の12の7
東京都,ひらやま保育園,191-0054,日野市東平山1の7の13
東京都,あさひがおか保育園,191-0065,日野市旭が丘2の42の1
東京都,あそビバれっどあさひがおか児童館,191-0065,日野市旭が丘2の42の5
東京都,つどいのひろばくるみ,196-0002,昭島市拝島町2-4-26  拝島保育園2階
東京都,子育てひろば なしのき,196-0011,昭島市上川原町1-23-1 なしのき保育園内
東京都,つどいのひろばさくらんぼ,196-0015,昭島市昭和町4-8-11上友自治会館2階集会室
東京都,子育てひろばるぴああきる野っ子,197-0804,あきる野市秋川1-8 あきる野ﾙﾋﾟｱ1階
東京都,子育てひろば秋川あすなろ,197-0811,あきる野市原小宮二丁目6-5 秋川あすなろ保育園
東京都,子育てひろばにしあきる,197-0832,あきる野市上代継300 西秋留保育園
東京都,子育て支援センター はぐはぐ,198-0024,青梅市新町2-21-9
東京都,東青梅市民センター おひさま広場,198-0031,青梅市師岡町3-9-6
東京都,河辺市民センター ウメスタ,198-0036,青梅市河辺町6-18-1
東京都,のどか広場,202-0005,西東京市住吉町六丁目15番6号 住吉会館ﾙﾋﾟﾅｽ2階
東京都,NPO法人ウイズアイ つどいの広場,204-0001,清瀬市下宿2-524-1 下宿地域市民ｾﾝﾀｰ
東京都,NPO法人ウイズアイ 野塩 つどいの広場,204-0004,清瀬市野塩1-322-2  野塩地域市民ｾﾝﾀｰ
東京都,ころぽっくるつどいの広場,204-0012,清瀬市中清戸3-235-5 児童ｾﾝﾀｰ(ころぽっくる)内
東京都,NPO法人子育てネットワーク・ピッコロ  元町つどいの広場,204-0021,清瀬市元町1-6-6 清瀬けやきﾎｰﾙ
東京都,NPO法人子育てネットワーク・ピッコロ  竹丘 つどいの広場,204-0023,清瀬市竹丘1-11-1 竹丘地域市民ｾﾝﾀｰ
東京都,羽村たつの子保育園,205-0011,羽村市五ﾉ神2-6-20
東京都,太陽の子保育園,205-0011,羽村市五ﾉ神3-15-7
東京都,子育て総合センター「たまっこ」子育てひろば,206-0031,多摩市豊ヶ丘1ｰ21ｰ3
東京都,私立本郷ゆうし保育園,206-0802,稲城市東長沼2115-2
東京都,私立城山保育園南山,206-0804,稲城市百村1461番地の1
東京都,私立中島ゆうし保育園,206-0812,稲城市矢野口256番地
東京都,私立松葉保育園,206-0812,稲城市矢野口2065番地
東京都,私立ひらお保育園,206-0823,稲城市平尾三丁目1番地の23
東京都,私立もみの木保育園 若葉台,206-0824,稲城市若葉台一丁目54番
東京都,私立若葉台バオバブ保育園,206-0824,稲城市若葉台四丁目17番
東京都,大和南保育園内子育てひろば（子育て支援センター・ポケット）,207-0011,東大和市清原3-1
東京都,玉川上水保育園内子育てひろば（にこにこ広場）,207-0022,東大和市桜が丘4-29-18
東京都,誠愛保育園内子育てひろば,207-0032,東大和市蔵敷3-691-2
神奈川県,地域子育て支援センターふじさき ,210-0804,川崎市川崎区藤崎1丁目7番地1 藤崎保育園内
神奈川県,川崎市地域子育て支援センターとのまち,210-0821,川崎市川崎区殿町1丁目18番13 殿町こども文化ｾﾝﾀｰ内
神奈川県,地域子育て支援センターできの ,210-0825,川崎市川崎区出来野6丁目7番 出来野ﾙｰﾃﾙ保育園内
神奈川県,地域子育て支援センターろば ,210-0833,川崎市川崎区桜本1丁目5番6 ふれあい館･桜本こども文化ｾﾝﾀｰ内
神奈川県,地域子育て支援センターむかい ,210-0834,川崎市川崎区大島4丁目17番1
神奈川県,川崎市地域子育て支援センターあさだ,210-0847,川崎市川崎区浅田3‐7‐10 
神奈川県,川崎市地域子育て支援センターたじま,210-0859,川崎市川崎区田島町20番23 
神奈川県,地域子育て支援センターふぁみぃゆ新丸子 ,211-0005,川崎市中原区新丸子町691‐7 
神奈川県,地域子育て支援センターふぁみぃゆ平間 ,211-0013,川崎市中原区上平間1323 
神奈川県,地域子育て支援センター虹・にじ ,211-0033,川崎市中原区木月祗園町17‐2 すみよしのはら保育園内
神奈川県,地域子育て支援センターみやうち ,211-0051,川崎市中原区宮内3‐4‐3 宮内こども文化ｾﾝﾀｰ内
神奈川県,地域子育て支援センターおおと ,211-0053,川崎市中原区上小田中2-24-1 大戸こども文化ｾﾝﾀｰ内
神奈川県,地域子育て支援センターちゃちゃ ,211-0065,川崎市中原区今井仲町369‐1 茶々いまい保育園内
神奈川県,地域子育て支援センターゆずりは ,212-0005,川崎市幸区戸手2-12-10 かわの風保育園内
神奈川県,地域子育て支援センターふぁみぃゆ南河原 ,212-0021,川崎市幸区都町74-２ 南河原こども文化ｾﾝﾀｰ内
神奈川県,地域子育て支援センターふぁみぃゆ幸 ,212-0023,川崎市幸区戸手本町1‐11‐5 幸こども文化ｾﾝﾀｰ内
神奈川県,地域子育て支援センターふるいちば ,212-0052,川崎市幸区古市場1丁目1番地
神奈川県,地域子育て支援センターふぁみぃゆ小倉 ,212-0054,川崎市幸区小倉5-17-59 小倉こども文化ｾﾝﾀｰ内
神奈川県,地域子育て支援センターかんがるー ,212-0057,川崎市幸区北加瀬1-31-5 どりｰむ保育園内
神奈川県,地域子育て支援センターぶるーべりー ,212-0058,川崎市幸区鹿島田1-21-8 ふくじゅ保育園内
神奈川県,地域子育て支援センターかじがや ,213-0000,川崎市高津区梶ヶ谷4‐12
神奈川県,地域子育て支援センターたまご ,213-0001,川崎市高津区溝口4-19-2 みぞのくち保育園内
神奈川県,地域子育て支援センターひがしたかつ ,213-0006,川崎市高津区下野毛1‐3‐2 東高津こども文化ｾﾝﾀｰ内
神奈川県,地域子育て支援センターすえなが ,213-0013,川崎市高津区末長1289 末長こども文化ｾﾝﾀｰ内
神奈川県,地域子育て支援センターちとせやまゆり ,213-0022,川崎市高津区千年970‐1
神奈川県,地域子育て支援センターしぼくち ,213-0023,川崎市高津区子母口983 子母口こども文化ｾﾝﾀｰ内
神奈川県,地域子育て支援センターそよかぜ ,213-0032,川崎市高津区久地3-13-1 うめのき保育園内
神奈川県,地域子育て支援センターかみさくのべ ,213-0034,川崎市高津区上作延1142‐4 上作延こども文化ｾﾝﾀｰ内
神奈川県,地域子育て支援センター宙（そら） ,214-0003,川崎市多摩区菅稲田堤1‐17‐25 星の子愛児園内
神奈川県,地域子育て支援センターみなみすげ ,214-0004,川崎市多摩区菅馬場3‐26‐1 南菅こども文化ｾﾝﾀｰ内
神奈川県,地域子育て支援センターなかのしま ,214-0012,川崎市多摩区中野島4-22-7 中野島こども文化ｾﾝﾀｰ内
神奈川県,地域子育て支援センター西しゅくマーノ ,214-0021,川崎市多摩区宿河原2-19-6 西しゅくﾏｰﾉ保育園内
神奈川県,地域子育て支援センターますがた ,214-0032,川崎市多摩区枡形6‐3‐1 枡形こども文化ｾﾝﾀｰ内
神奈川県,地域子育て支援センターにしきがおか ,214-0039,川崎市多摩区栗谷3-28-2 錦ｹ丘こども文化ｾﾝﾀｰ
神奈川県,地域子育て支援センターゆりの音（ね）,215-0011,川崎市麻生区百合丘1-18-3 至誠館ゆりがおか保育園内
神奈川県,地域子育て支援センターみなみゆりがおか ,215-0017,川崎市麻生区王禅寺西1-26-2
神奈川県,地域子育て支援センターかるがも ,215-0021,川崎市麻生区上麻生3‐22‐14 あさのみ保育園内
神奈川県,地域子育て支援センターかたひら ,215-0023,川崎市麻生区片平5-25-1 片平こども文化ｾﾝﾀｰ内
神奈川県,地域子育て支援センターおかがみ ,215-0027,川崎市麻生区岡上277 岡上こども文化ｾﾝﾀｰ内
神奈川県,地域子育て支援センタートライアングル・ハグ ,215-0036,川崎市麻生区はるひ野2‐7‐1 はるひ野保育園内
神奈川県,地域子育て支援センターのがわ ,216-0001,川崎市宮前区野川3182‐1 野川こども文化ｾﾝﾀｰ内
神奈川県,地域子育て支援センターベジーブル,216-0004,川崎市宮前区鷺沼3-1-6鷺沼なごみ保育園3階
神奈川県,地域子育て支援センターペジーブル ,216-0005,川崎市宮前区土橋3‐1‐6 さぎ沼なごみ保育園内
神奈川県,地域子育て支援センターたつのこのこ ,216-0005,川崎市宮前区土橋4‐7‐1 たつのこのはら保育園内
神奈川県,地域子育て支援センターすがお ,216-0015,川崎市宮前区菅生5-3-21蔵敷こども文化センター内
神奈川県,地域子育て支援センターたいら ,216-0022,川崎市宮前区平2-13-1 平こども文化ｾﾝﾀｰ内
神奈川県,地域子育て支援センターみやざき ,216-0033,川崎市宮前区宮崎1‐7 宮崎こども文化ｾﾝﾀｰ内
神奈川県,南浅間保育園,220-0074,横浜市西区南浅間町23-3
神奈川県,松見保育園,221-0005,横浜市神奈川区松見町1-28-4
神奈川県,あおぞら第２保育園,221-0802,横浜市神奈川区六角橋2-34-8
神奈川県,港北保育園,222-0023,横浜市港北区仲手原2-20-19
神奈川県,茅ヶ崎南保育園,224-0000,横浜市都筑区茅ヶ崎南5-11-3
神奈川県,みどり保育園,224-0007,横浜市都筑区荏田南1-9-1
神奈川県,美しが丘保育園,225-0002,横浜市青葉区美しが丘2-2-1
神奈川県,荏田保育園,225-0015,横浜市青葉区荏田北2-11-40
神奈川県,つどいの広場みらいポケット,226-0003,横浜市緑区鴨居1-11-2 ﾘﾊﾞｰｻｲﾄﾞ鴨居101
神奈川県,鴨居保育園,226-0003,横浜市緑区鴨居1-3-19
神奈川県,小学館アカデミーなかやま保育園,226-0014,横浜市緑区台村町399
神奈川県,長津田保育園,226-0027,横浜市緑区長津田2-11-1
神奈川県,鶴見保育園,230-0051,横浜市鶴見区鶴見中央2-10-7
神奈川県,わっくんひろば,230-0062,横浜市鶴見区豊岡町38-4
神奈川県,鶴見乳幼児福祉センター保育園,230-0063,横浜市鶴見区鶴見1-3-16
神奈川県,のんびりんこ,231-0013,横浜市中区住吉町1-12-1 belle横浜ﾋﾞﾙ3階
神奈川県,新山下二丁目保育所,231-0801,横浜市中区新山下2-3-1
神奈川県,竹之丸保育園,231-0847,横浜市中区竹之丸53-1
神奈川県,つどいの広場 えの木,232-0051,横浜市南区井土ｹ谷上町18-20 井土ヶ谷上二町内会館
神奈川県,井土ケ谷保育園,232-0053,横浜市南区井土ｹ谷下町13-17
神奈川県,大久保保育園,233-0007,横浜市港南区大久保2-28-27
神奈川県,赤い屋根保育園,234-0054,横浜市港南区港南台5-3-1
神奈川県,港南台第二保育園,234-0054,横浜市港南区港南台7-25-28
神奈川県,野庭第二保育園,234-0056,横浜市港南区野庭町601
神奈川県,いそピヨ,235-0023,横浜市磯子区森1-7-10 ﾄﾜｲｼｱ横濱磯子 2階
神奈川県,洋光台第二保育園,235-0045,横浜市磯子区洋光台4-12-14
神奈川県,あおぞら谷津保育園,236-0016,横浜市金沢区谷津町231-5
神奈川県,金沢さくら保育園,236-0021,横浜市金沢区泥亀1-21-1
神奈川県,きらら保育園,236-0058,横浜市金沢区能見台東2-3
神奈川県,とことこ,236-0058,横浜市金沢区能見台東5-6 2階
神奈川県,愛らんど田浦,237-0076,横須賀市船越町6-77北健康福祉ｾﾝﾀｰ内
神奈川県,愛らんどウェルシティ,238-0046,横須賀市西逸見町1-38-11中央健康福祉ｾﾝﾀｰ内
神奈川県,三浦市子育て支援センター,238-0101,三浦市南下浦町上宮田3190-1 上宮田小羊保育園内
神奈川県,愛らんど久里浜,239-0831,横須賀市久里浜6-14-2南健康福祉ｾﾝﾀｰ内
神奈川県,天王町保育園,240-0003,横浜市保土ｹ谷区天王町2-42-29
神奈川県,神戸保育園,240-0005,横浜市保土ｹ谷区神戸町104-20
神奈川県,愛らんど西,240-0101,横須賀市長坂1-2-2西健康福祉ｾﾝﾀｰ内
神奈川県,ぽけっと葉山町子育て支援センター,240-0111,三浦郡葉山町一色1493-1
神奈川県,親子サロン メダカ,241-0002,横浜市旭区上白根2-6-4-101
神奈川県,わかば親と子の広場そらまめ,241-0801,横浜市旭区若葉台3-5-1
